,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Admission Points
498,40,311,106,2,3.33,3.05,7.92,0,48.5
499,45,326,99,5,4.5,4.81,9.4,1,91.0
500,271,306,119,2,2.5,3.0,9.26,1,72.0
501,246,328,89,4,4.0,2.5,6.95,1,81.0
502,40,307,108,2,3.38,2.63,9.32,0,
503,301,311,106,2,2.5,2.5,8.0,0,62.0
504,146,320,118,2,2.0,2.32,6.2,1,81.0
505,157,315,105,3,3.7,3.46,8.34,0,70.0
506,270,308,93,4,4.5,0.51,8.34,0,77.0
507,118,288,99,2,2.87,2.29,7.3,0,
508,314,301,112,3,3.5,3.0,8.04,0,67.0
509,475,296,100,2,2.25,3.01,7.74,0,45.09
510,284,285,116,3,2.5,3.0,8.9,1,80.0
511,118,295,99,2,2.97,3.47,8.34,0,46.0
512,70,328,77,4,3.82,4.0,9.16,1,78.0
513,407,322,71,4,4.37,2.5,8.02,1,61.0
514,339,323,108,5,4.0,4.0,8.74,1,81.0
515,467,314,99,4,3.5,4.5,8.11,1,71.0
516,364,306,80,2,3.0,3.0,8.36,0,69.0
517,483,328,110,4,4.63,2.5,6.18,1,83.0
518,321,317,106,3,4.0,3.5,8.5,1,75.0
519,60,305,99,2,1.24,1.06,7.93,0,47.01
520,289,314,104,4,5.0,5.0,9.02,0,82.0
521,71,332,80,5,4.15,3.94,9.64,1,94.0
522,45,326,103,5,4.25,4.99,9.4,1,91.0
523,3,316,104,3,3.0,3.11,8.0,1,72.0
524,11,325,106,3,3.5,4.0,8.4,1,52.0
525,372,324,96,3,3.5,3.0,9.22,1,89.0
526,40,311,108,2,4.0,3.17,7.7,0,48.0
527,11,325,106,3,3.5,3.58,8.4,1,52.0
528,75,336,112,5,4.88,4.88,9.69,1,94.99
529,267,308,114,4,2.3,4.89,9.18,0,
530,347,257,107,1,1.02,1.03,7.06,0,44.51
531,65,285,101,3,3.0,3.5,8.7,0,52.0
532,423,257,84,2,2.0,2.91,7.45,0,47.29
533,231,292,117,3,4.0,4.5,8.65,0,73.0
534,160,297,119,1,1.5,2.16,8.47,0,52.5
535,417,315,104,3,4.0,3.76,8.1,0,65.0
536,361,321,102,2,4.5,1.74,8.56,0,84.81
537,457,291,108,2,2.0,2.0,7.88,0,51.0
538,206,295,99,2,2.5,3.0,7.65,0,57.0
539,329,324,112,4,3.76,3.5,8.77,1,80.0
540,487,319,106,3,2.5,1.63,8.37,0,68.0
541,263,308,102,2,2.5,3.48,7.68,1,70.0
542,393,326,111,4,4.0,3.5,9.12,1,84.0
543,401,331,81,4,4.66,3.83,9.51,1,92.96
544,57,282,112,3,2.0,3.0,7.4,0,64.0
545,346,314,97,1,1.5,1.87,7.45,0,48.02
546,308,290,112,4,0.98,3.71,9.0,1,80.0
547,419,275,106,2,2.5,2.76,8.03,0,60.0
548,347,297,94,1,1.11,1.22,7.34,0,44.52
549,112,263,118,4,4.0,4.0,8.68,1,69.0
550,465,298,80,2,2.0,3.0,7.21,0,45.0
551,162,277,99,1,1.5,4.67,6.55,0,53.0
552,441,305,104,2,2.5,1.5,7.79,0,53.0
553,42,313,106,2,2.5,2.15,8.41,1,51.0
554,360,321,105,2,2.0,2.72,8.16,0,81.0
555,473,327,113,4,4.85,4.5,9.48,1,90.0
556,203,340,89,5,2.11,4.5,9.91,1,97.0
557,132,262,105,5,1.82,0.12,8.65,0,77.0
558,16,314,78,3,3.5,4.62,8.3,0,54.0
559,440,312,117,2,0.12,4.22,8.46,0,66.0
560,28,298,98,1,1.53,1.09,7.6,0,
561,477,304,104,3,3.71,2.0,8.12,0,62.0
562,42,315,105,2,2.5,2.36,8.28,1,51.02
563,337,319,76,3,3.0,2.5,6.24,0,72.0
564,446,328,102,5,4.5,0.49,6.54,1,91.0
565,204,334,111,5,0.42,5.0,9.87,1,97.0
566,27,322,84,5,4.5,1.43,8.8,0,76.0
567,388,303,105,2,1.25,3.67,8.1,0,53.0
568,363,338,115,5,4.49,5.0,9.23,1,91.0
569,212,277,96,4,5.0,1.76,9.14,1,82.0
570,400,333,117,4,3.34,4.0,7.32,1,95.0
571,104,300,119,2,4.5,4.87,7.03,0,57.0
572,328,295,70,2,0.3,3.1,7.86,0,69.0
573,61,309,100,2,3.0,1.82,8.1,0,48.0
574,294,289,98,1,2.84,2.77,8.18,1,
575,79,302,77,2,3.0,2.0,7.54,1,44.0
576,392,318,106,3,2.0,3.0,8.65,0,71.0
577,166,258,110,5,4.5,4.0,8.97,0,78.0
578,202,315,110,2,3.5,3.0,6.88,1,72.0
579,444,301,101,1,2.23,1.9,7.77,0,45.96
580,96,305,99,2,1.63,3.12,7.9,0,44.93
581,476,264,101,3,3.5,4.44,7.88,0,59.0
582,451,320,84,4,3.0,4.5,8.86,1,82.0
583,350,313,101,3,2.5,0.22,8.04,0,62.0
584,186,327,99,4,4.5,1.0,9.11,1,89.0
585,107,329,96,4,4.5,4.5,8.39,1,87.0
586,372,324,110,3,3.5,3.0,9.14,1,89.0
587,118,290,104,4,2.0,2.5,7.46,0,45.0
588,14,323,102,2,3.33,3.76,8.36,1,49.55
589,253,318,100,2,2.5,3.5,8.54,1,71.0
590,16,314,105,3,3.5,2.5,8.3,0,54.0
591,95,302,98,3,2.14,2.65,6.26,0,40.39
592,312,262,108,4,1.84,4.0,9.18,1,84.0
593,424,334,75,5,4.5,5.0,9.54,1,94.0
594,131,300,99,2,1.5,0.6,7.64,0,
595,396,324,110,3,3.5,1.68,9.04,1,82.0
596,240,299,100,1,1.5,0.78,6.75,0,59.0
597,391,314,102,2,2.0,4.53,8.24,0,64.0
598,59,278,98,1,3.0,2.31,7.2,0,42.12
599,359,314,113,2,2.5,1.75,7.64,0,70.0
600,438,306,103,2,2.59,1.55,8.35,0,52.5
601,264,324,84,3,4.72,1.5,8.79,1,70.0
602,360,321,107,2,4.59,0.5,8.44,0,81.0
603,173,322,120,4,4.0,0.26,7.59,1,87.47
604,93,300,120,2,3.16,2.87,6.66,0,39.5
605,346,313,97,1,1.5,3.1,7.48,0,48.0
606,404,302,99,2,2.56,3.05,7.5,0,49.01
607,483,279,113,4,4.0,3.3,8.77,1,83.0
608,281,317,108,3,2.84,3.86,9.0,1,84.81
609,259,326,109,4,5.0,5.0,8.76,1,77.0
610,384,279,96,2,1.89,2.0,7.66,0,46.0
611,371,305,98,1,2.64,1.11,8.99,0,45.12
612,213,301,120,4,5.0,5.0,9.66,1,95.0
613,17,317,107,3,4.0,3.59,8.7,0,66.0
614,52,312,100,2,1.5,3.5,7.9,1,56.0
615,486,311,102,2,2.5,2.91,8.61,1,70.0
616,494,265,95,2,3.0,0.73,8.22,1,62.0
617,189,331,114,5,4.5,3.5,9.36,1,93.0
618,131,300,79,2,2.06,2.77,7.64,0,47.54
619,25,279,102,5,4.57,3.44,9.8,1,97.0
620,352,262,110,4,3.5,4.0,8.67,1,73.0
621,472,298,97,2,3.06,3.38,7.33,0,49.05
622,10,292,106,3,3.12,3.77,6.72,0,46.7
623,93,298,110,2,3.98,3.0,8.98,0,41.19
624,4,303,116,4,2.85,3.55,9.45,1,90.99
625,382,305,98,2,2.5,2.89,7.75,0,40.12
626,98,331,102,3,4.0,4.0,8.96,1,86.0
627,375,312,103,2,2.0,4.74,7.65,0,38.5
628,404,330,100,4,4.0,2.86,9.23,1,91.0
629,376,300,98,2,2.44,2.27,7.55,0,36.02
630,197,306,89,2,4.02,2.5,8.26,0,73.0
631,203,337,106,5,4.32,4.68,9.9,1,145.5
632,184,314,116,3,4.0,4.41,8.8,0,75.0
633,347,301,94,1,3.63,3.83,7.35,0,45.53
634,375,287,101,2,2.0,2.5,7.66,0,38.25
635,218,321,109,4,4.0,4.0,9.13,1,85.0
636,425,279,114,5,3.7,5.0,9.46,1,91.0
637,18,319,106,3,4.0,3.0,8.0,1,
638,363,338,87,5,1.72,5.0,9.23,1,91.0
639,62,307,118,3,0.02,2.34,8.4,0,47.0
640,210,301,104,3,3.66,4.0,8.12,1,68.0
641,376,304,101,2,2.06,3.1,7.66,0,38.0
642,496,332,119,5,2.14,0.68,8.97,1,87.0
643,82,258,120,4,5.0,5.0,8.23,1,96.0
644,434,267,111,4,4.0,5.0,8.54,0,71.0
645,398,330,73,4,4.89,4.5,9.45,1,91.0
646,268,314,107,3,4.29,3.5,8.17,1,73.0
647,160,297,100,1,1.62,2.0,7.9,0,52.0
648,387,302,101,2,0.77,3.5,7.3,0,46.0
649,96,267,100,4,1.5,2.5,7.84,0,42.0
650,59,302,107,1,3.48,2.31,7.2,0,42.12
651,133,309,108,5,3.5,4.9,8.56,0,71.0
652,266,313,102,3,2.5,2.5,8.68,0,
653,216,266,104,4,4.52,4.05,9.26,1,91.99
654,312,328,117,4,4.5,4.0,9.18,1,84.0
655,174,321,93,4,4.0,1.94,8.98,1,86.5
656,89,314,108,3,0.4,4.48,8.14,0,64.0
657,384,308,113,2,2.5,2.38,7.52,0,40.82
658,39,304,115,1,3.0,0.79,7.5,0,52.0
659,56,309,101,2,3.81,0.52,8.19,0,50.54
660,350,313,114,3,1.04,3.0,8.04,0,62.0
661,125,301,113,4,2.5,3.0,8.47,0,57.0
662,249,294,113,3,3.5,4.0,8.87,1,80.0
663,41,311,99,2,3.0,2.75,8.1,1,47.51
664,428,323,82,4,4.19,4.61,9.61,1,88.9
665,295,267,93,2,2.5,2.0,8.32,1,61.0
666,262,312,77,3,3.5,4.0,8.09,0,71.0
667,316,327,110,3,4.19,3.83,9.17,1,82.47
668,37,299,110,2,4.0,4.0,8.93,0,64.0
669,301,309,103,2,2.5,2.5,8.0,0,62.0
670,377,304,72,2,2.0,2.59,7.7,0,47.8
671,406,302,99,3,2.71,3.0,7.45,0,52.0
672,92,298,97,2,4.58,4.29,7.71,0,36.5
673,357,327,102,3,3.5,0.18,8.77,1,79.0
674,203,340,120,5,0.03,4.5,9.91,1,97.0
675,184,314,78,3,4.0,4.0,8.8,0,75.0
676,240,299,100,1,4.37,2.0,7.89,0,59.0
677,148,326,114,3,3.0,4.77,9.11,1,83.0
678,191,323,111,5,4.5,4.2,9.13,1,87.95
679,313,311,113,4,4.5,4.5,9.0,1,78.0
680,120,327,104,5,3.0,3.5,8.84,1,71.0
681,42,316,92,2,2.5,1.52,8.2,1,49.0
682,331,298,104,1,2.4,1.55,9.76,0,46.03
683,36,302,71,1,2.49,1.5,7.5,0,48.11
684,93,296,97,2,3.7,3.0,7.99,0,
685,375,282,113,2,2.56,2.5,7.65,0,39.0
686,454,298,69,3,2.5,2.49,8.76,1,73.0
687,111,305,108,5,3.8,3.0,8.48,0,61.0
688,244,325,86,3,3.5,3.0,8.02,1,
689,28,297,97,1,0.78,1.11,7.49,0,45.01
690,417,316,102,3,2.68,3.96,7.72,0,50.51
691,80,294,93,1,1.5,4.42,7.36,0,46.0
692,9,302,102,1,0.9,1.5,8.0,0,50.0
693,320,327,113,4,3.5,4.94,8.69,1,80.0
694,389,296,97,2,1.5,2.0,7.8,0,49.0
695,143,331,115,5,4.0,1.07,9.44,1,138.0
696,450,315,101,3,3.5,1.73,9.12,0,79.0
697,411,301,96,1,4.3,4.0,7.56,0,54.0
698,131,339,114,5,4.0,2.27,9.76,1,96.0
699,368,264,90,1,3.48,2.5,6.19,0,57.0
700,14,320,108,2,2.07,3.08,8.46,0,46.51
701,346,313,114,1,4.8,2.0,7.47,0,48.5
702,385,340,113,4,5.0,5.0,9.74,1,96.0
703,201,317,103,3,2.5,3.0,8.54,1,73.0
704,141,331,114,5,4.21,3.18,9.41,1,90.48
705,66,274,112,4,1.98,0.14,9.51,0,55.0
706,339,323,104,5,4.0,4.0,8.74,1,81.0
707,215,330,116,4,4.59,4.91,9.41,1,93.5
708,40,307,108,2,4.0,3.5,7.7,0,48.0
709,375,292,91,1,1.63,2.0,7.64,0,49.01
710,273,294,117,1,1.5,2.21,7.64,0,
711,441,304,103,1,2.48,3.48,7.78,0,45.41
712,383,324,110,4,4.5,4.0,8.67,1,
713,352,325,100,4,0.51,4.02,8.67,1,73.0
714,239,310,72,3,2.0,3.74,8.37,0,70.0
715,252,316,90,2,2.5,3.0,9.0,0,70.0
716,192,291,106,5,4.0,5.0,8.98,1,130.5
717,71,265,95,5,5.0,2.86,9.64,1,94.0
718,479,285,103,3,4.0,1.18,8.49,1,71.0
719,62,307,101,3,2.97,4.63,8.2,0,47.0
720,11,282,105,3,3.5,2.96,8.4,1,52.0
721,40,307,109,2,1.87,4.75,7.93,0,47.0
722,338,300,103,5,5.0,5.0,9.47,1,94.0
723,213,338,120,4,3.5,5.0,9.66,1,95.0
724,189,275,113,5,1.93,3.5,9.36,1,93.0
725,94,301,97,2,2.21,4.86,7.8,1,
726,360,321,100,2,2.0,1.68,8.44,0,81.0
727,153,264,112,5,5.0,4.21,9.06,1,86.0
728,361,322,110,3,4.0,5.0,8.64,1,85.0
729,218,324,107,4,3.16,3.24,8.99,1,
730,317,298,74,2,4.35,2.0,7.86,0,54.0
731,215,308,117,4,4.5,5.0,9.42,1,94.0
732,398,330,116,4,1.18,4.5,9.45,1,91.0
733,417,307,96,3,2.47,2.53,7.66,0,45.53
734,154,288,105,3,3.0,1.56,9.55,0,79.0
735,56,320,109,2,2.8,2.9,8.62,0,52.5
736,317,298,101,2,1.5,2.0,7.86,0,54.0
737,144,340,120,4,4.5,4.0,7.27,1,97.0
738,60,311,97,2,2.0,2.0,8.3,0,42.0
739,256,311,108,4,4.0,4.5,8.37,0,79.0
740,31,300,94,2,3.0,3.0,8.1,1,65.0
741,319,324,111,3,2.5,2.0,8.8,1,79.0
742,479,270,113,3,4.65,4.5,8.49,1,71.0
743,231,290,111,3,4.0,4.5,8.65,0,73.0
744,475,279,84,2,0.41,2.51,7.63,0,45.09
745,158,275,105,2,2.0,2.5,8.26,0,65.0
746,320,296,116,1,2.33,1.5,6.89,0,46.03
747,386,282,119,5,5.0,5.0,9.82,1,96.0
748,185,269,106,2,2.5,4.0,8.32,0,72.0
749,381,322,104,3,3.5,0.84,8.84,1,78.0
750,373,336,83,4,0.63,4.58,9.62,1,95.0
751,433,324,117,4,4.5,4.0,6.77,1,86.0
752,84,309,115,3,1.83,4.51,7.92,0,43.05
753,265,325,110,2,3.0,2.5,8.76,1,75.0
754,61,316,106,2,1.33,2.56,8.45,0,47.03
755,330,297,96,1,4.47,1.52,7.87,0,46.03
756,102,312,105,2,2.5,3.41,8.12,0,64.0
757,14,307,73,3,4.0,0.99,9.12,1,62.0
758,41,304,110,3,3.5,4.49,8.0,1,46.0
759,69,318,108,3,3.5,4.0,9.22,1,68.0
760,414,317,101,3,2.78,2.0,7.94,1,49.0
761,214,333,119,5,5.0,4.5,9.78,1,96.0
762,298,295,120,3,4.0,4.5,9.11,0,86.0
763,10,324,106,3,3.5,3.92,9.38,0,
764,72,336,102,5,5.0,5.0,9.76,1,96.0
765,370,297,92,1,1.97,2.06,7.85,0,47.13
766,347,302,116,1,1.39,2.25,7.57,0,45.73
767,114,320,89,2,4.0,3.5,8.56,0,72.0
768,378,290,113,1,1.5,2.0,7.56,0,47.0
769,46,322,103,5,5.0,0.28,9.1,1,88.0
770,111,295,102,3,2.33,2.26,7.64,0,46.51
771,42,313,120,2,1.02,2.03,8.48,1,51.01
772,43,313,96,2,2.44,2.0,8.5,1,53.0
773,241,263,113,1,2.5,3.0,7.68,0,
774,496,332,76,5,4.5,4.0,9.02,1,87.0
775,82,319,109,4,2.88,4.44,9.2,1,87.82
776,156,288,109,3,2.45,1.82,8.69,0,77.0
777,454,325,97,4,4.35,4.2,9.28,1,133.5
778,92,299,97,3,4.63,3.38,7.66,0,37.01
779,159,306,106,2,0.24,0.28,8.14,0,61.0
780,85,302,103,3,1.85,2.85,7.97,0,46.02
781,36,312,108,1,2.71,1.6,7.5,0,48.11
782,307,323,110,3,0.15,5.0,9.1,1,79.0
783,445,265,113,5,4.0,0.41,9.45,1,92.0
784,367,320,104,3,3.5,4.5,8.34,1,74.0
785,171,312,120,2,2.5,1.51,8.04,1,68.0
786,378,280,97,2,2.44,2.19,7.52,0,43.61
787,20,327,119,4,4.73,3.81,9.37,1,88.72
788,93,283,95,2,3.98,3.76,8.03,0,41.19
789,229,291,112,3,4.0,3.5,8.67,0,71.0
790,34,300,100,1,2.66,2.44,7.55,0,69.0
791,473,298,100,2,2.34,3.14,7.79,0,52.0
792,418,316,103,3,3.32,2.0,7.68,0,52.0
793,207,297,73,2,3.5,3.0,6.27,0,63.0
794,479,318,103,3,0.34,2.88,8.49,1,71.0
795,80,313,106,1,1.5,2.0,7.36,0,46.0
796,191,324,82,5,4.5,4.0,9.16,1,90.0
797,493,298,101,4,2.5,0.42,7.69,1,53.0
798,41,276,110,3,3.5,3.0,8.0,1,
799,338,330,75,5,4.67,4.78,9.29,1,87.02
800,48,339,119,5,4.5,4.0,9.7,0,89.0
801,146,320,113,2,1.84,1.12,8.64,1,81.0
802,40,310,105,1,2.72,3.91,9.02,0,50.5
803,457,298,84,1,2.0,1.04,7.81,0,44.14
804,319,324,91,3,2.5,3.85,9.63,1,79.0
805,347,297,94,1,1.17,1.33,7.34,0,44.52
806,387,302,101,2,2.5,3.5,7.96,0,46.0
807,236,326,111,5,4.5,4.0,9.23,1,88.0
808,112,293,94,4,1.88,2.5,7.55,0,43.61
809,176,313,105,4,2.64,1.83,8.87,1,85.0
810,458,295,99,1,1.72,3.94,7.57,0,37.0
811,273,287,98,1,1.01,1.5,8.0,0,50.5
812,145,325,88,2,2.37,3.5,8.17,1,80.0
813,345,295,70,2,0.54,3.77,7.34,0,47.0
814,93,298,78,2,4.0,1.45,8.03,0,34.0
815,81,312,105,3,2.0,0.73,8.02,1,50.0
816,440,296,112,1,2.0,2.22,7.5,0,39.52
817,59,302,99,1,3.0,2.28,7.16,0,42.17
818,265,325,88,2,2.92,2.5,8.76,1,75.0
819,376,300,119,2,2.22,3.86,7.56,0,36.01
820,80,294,93,1,3.61,0.1,9.67,0,46.0
821,72,336,112,5,4.96,2.08,9.74,1,94.99
822,170,311,105,2,1.71,2.75,7.98,0,65.0
823,379,298,97,2,2.5,2.36,7.56,0,40.14
824,136,314,109,4,4.37,3.4,8.77,1,82.0
825,261,327,108,5,2.04,3.5,9.13,1,87.0
826,402,315,110,2,3.0,3.0,6.67,0,66.0
827,84,295,86,5,4.0,4.5,9.36,1,92.0
828,117,299,98,3,1.59,3.5,8.62,0,56.0
829,155,326,108,3,3.0,3.5,8.89,0,80.0
830,269,327,113,4,4.5,5.0,9.14,0,83.0
831,71,332,118,5,5.0,0.61,9.64,1,94.0
832,374,314,118,1,4.45,4.47,7.65,0,45.08
833,485,262,106,3,3.5,3.0,7.89,1,73.0
834,128,319,112,3,2.5,2.0,8.71,1,78.0
835,14,320,108,2,3.58,3.08,8.71,0,46.51
836,426,313,111,5,3.85,5.0,9.86,1,92.0
837,270,308,108,4,4.5,3.67,8.34,0,77.0
838,404,330,116,4,4.0,4.75,9.23,1,91.0
839,151,334,115,4,4.0,4.0,9.43,1,93.0
840,339,323,100,5,3.52,4.0,6.65,1,121.5
841,347,304,95,2,1.5,3.22,7.64,0,47.0
842,414,317,110,3,3.0,4.06,7.94,1,49.0
843,123,310,106,4,1.5,2.5,8.36,0,57.0
844,227,306,108,2,3.5,4.0,8.45,0,63.0
845,165,329,69,4,4.5,4.0,9.01,1,81.0
846,395,329,82,4,2.12,4.0,9.23,1,89.0
847,63,304,105,2,3.0,3.0,8.2,1,54.0
848,400,300,98,2,2.19,2.69,7.56,0,50.5
849,209,305,74,2,3.81,3.0,7.13,0,
850,497,337,117,5,1.14,5.0,9.87,1,96.0
851,353,306,100,2,3.0,3.5,8.06,1,64.0
852,96,304,80,4,1.5,0.38,7.84,0,42.0
853,27,339,119,4,3.32,2.94,9.56,1,92.48
854,144,281,90,4,0.93,4.0,9.92,1,97.0
855,42,313,106,2,3.97,2.03,8.48,1,51.01
856,218,321,111,4,4.0,1.73,9.13,1,85.0
857,177,329,119,4,4.5,4.34,7.67,1,90.0
858,237,325,115,4,0.05,4.25,9.17,1,85.0
859,223,324,113,4,0.63,4.0,8.79,0,76.0
860,347,302,95,1,4.52,1.66,7.54,0,44.53
861,346,316,98,1,1.5,2.81,9.31,0,49.0
862,121,335,90,5,5.0,5.0,9.56,1,94.0
863,157,315,105,3,2.0,4.65,8.34,0,70.0
864,347,275,94,1,1.28,1.55,8.48,0,45.32
865,333,308,106,3,3.5,2.5,8.21,1,
866,95,302,110,3,1.65,2.63,7.89,0,38.08
867,194,336,107,5,4.5,3.23,9.53,1,94.0
868,236,326,111,5,4.5,1.84,9.23,1,88.0
869,182,305,117,2,2.5,2.5,8.42,0,71.0
870,189,296,101,5,4.5,3.5,9.36,1,93.0
871,390,320,108,3,3.5,4.0,8.44,1,76.0
872,469,323,110,4,4.0,2.37,8.96,1,85.26
873,111,293,119,3,1.89,2.5,7.55,0,45.01
874,339,323,90,5,0.27,4.0,8.74,1,81.0
875,296,317,100,2,3.0,2.24,8.57,0,68.0
876,85,309,84,3,1.85,3.69,7.71,0,46.02
877,332,311,70,2,1.04,3.03,8.12,1,73.0
878,219,324,116,4,3.0,3.81,8.97,1,84.0
879,107,334,114,4,3.86,1.99,9.36,1,88.96
880,267,312,105,2,4.9,4.28,8.45,0,72.0
881,95,281,75,2,3.23,3.01,7.86,0,42.61
882,80,294,83,1,1.5,2.0,7.36,0,46.0
883,42,316,105,2,2.5,0.73,8.2,1,49.0
884,106,312,100,3,2.27,4.5,8.78,1,69.0
885,376,304,101,2,2.0,2.5,7.66,0,38.0
886,11,323,86,2,3.41,3.93,8.36,1,48.64
887,253,318,103,2,2.1,3.5,8.54,1,71.0
888,369,298,120,1,2.0,3.3,7.88,0,51.0
889,21,312,108,3,4.04,2.0,7.9,1,64.0
890,432,299,100,2,2.0,2.68,7.57,0,46.53
891,243,324,106,3,2.62,3.0,8.76,1,70.0
892,51,292,98,3,4.21,3.67,8.3,1,76.0
893,79,295,94,1,2.29,2.76,7.45,0,45.0
894,442,332,93,1,1.5,3.51,8.66,1,79.0
895,407,322,110,4,3.0,2.5,8.02,1,61.0
896,143,331,115,5,3.46,3.5,9.3,1,92.0
897,339,311,108,5,4.0,4.0,8.74,1,81.0
898,345,273,119,1,1.5,2.0,7.43,0,48.0
899,302,319,108,2,2.5,3.0,8.76,0,66.0
900,173,322,110,4,4.0,4.47,9.13,1,86.0
901,285,340,82,4,0.64,2.66,9.66,1,94.0
902,42,266,107,2,2.5,2.05,8.47,1,52.0
903,410,310,100,3,2.79,2.81,7.7,0,50.51
904,345,295,96,2,0.36,4.56,7.34,0,47.0
905,307,323,110,3,3.68,3.5,9.1,1,79.0
906,347,299,104,1,1.42,2.89,6.7,0,43.69
907,128,315,100,2,1.35,2.25,7.87,0,48.47
908,59,306,82,1,2.42,2.0,7.66,0,39.06
909,168,313,102,3,4.56,3.0,8.27,0,64.0
910,422,321,112,3,3.0,4.5,8.95,1,77.0
911,226,296,118,2,2.5,1.98,6.81,0,61.0
912,13,276,103,4,4.37,4.5,9.1,1,78.0
913,444,321,114,5,4.5,4.5,9.16,1,87.0
914,91,279,114,2,4.0,4.0,7.92,1,64.0
915,464,304,107,3,3.5,1.76,7.86,0,57.0
916,285,340,98,4,5.0,4.5,9.66,1,94.0
917,417,281,113,3,4.16,2.0,7.72,0,50.51
918,118,294,100,2,2.7,3.2,6.35,0,46.0
919,426,285,100,5,4.0,3.29,7.41,1,92.0
920,305,313,118,2,2.5,2.22,8.43,0,62.0
921,29,295,93,1,2.0,2.0,7.2,0,46.0
922,94,301,98,2,3.57,2.93,8.02,0,43.13
923,84,298,96,2,2.66,2.17,7.58,0,
924,491,307,98,2,2.5,3.91,9.33,1,67.0
925,75,314,120,3,0.67,0.39,8.9,0,74.0
926,32,327,103,3,1.86,4.0,8.3,1,74.0
927,58,292,118,2,4.57,2.0,6.22,0,46.0
928,106,316,110,3,4.0,4.5,8.78,1,69.0
929,180,307,102,3,3.0,1.66,8.27,0,73.0
930,110,304,103,5,5.0,4.0,8.64,0,68.0
931,117,299,102,3,4.0,4.04,6.49,0,56.0
932,294,312,98,1,3.5,3.0,8.18,1,64.0
933,68,316,119,2,3.5,3.5,8.74,1,57.0
934,23,328,79,5,5.0,5.0,9.5,1,94.0
935,273,294,69,1,1.5,1.5,7.64,0,49.0
936,380,311,81,2,2.0,0.46,7.84,0,46.16
937,319,324,111,3,2.5,2.0,7.01,1,79.0
938,187,264,112,3,3.5,3.0,8.68,1,84.0
939,235,330,107,5,5.0,2.95,9.31,1,91.0
940,219,298,90,4,3.0,3.9,8.97,1,84.0
941,410,287,96,1,2.0,0.25,8.02,0,61.0
942,263,308,103,2,2.5,4.0,8.36,1,70.0
943,9,301,88,1,1.99,1.53,7.99,0,48.46
944,289,314,103,4,0.76,4.23,6.33,0,82.0
945,36,263,106,2,2.86,2.84,7.84,1,45.01
946,338,299,118,5,3.63,0.59,9.11,1,94.0
947,372,324,71,3,4.98,4.05,9.22,1,89.0
948,42,313,71,2,4.73,4.98,9.15,1,51.0
949,218,321,73,4,3.98,3.99,9.13,1,84.5
950,47,329,114,5,4.0,5.0,9.3,1,86.0
951,495,301,99,3,4.98,2.0,8.45,1,68.0
952,376,300,113,2,2.22,2.28,7.56,0,36.01
953,463,265,101,4,2.79,3.0,8.25,0,62.0
954,331,299,96,1,4.47,3.25,7.84,0,46.03
955,93,266,97,2,1.31,3.05,7.86,0,41.03
956,193,311,114,5,4.5,2.62,8.94,1,
957,425,325,114,5,4.0,5.0,9.46,1,91.0
958,326,326,99,3,3.47,4.0,9.14,1,81.0
959,326,309,116,3,3.5,4.0,9.14,1,81.0
960,351,318,107,3,0.16,0.59,8.27,1,
961,448,304,108,3,3.5,5.0,8.97,1,84.0
962,60,310,91,2,2.37,2.37,8.23,0,45.03
963,499,327,79,4,3.07,4.54,9.08,0,88.27
964,312,328,108,4,4.5,2.25,9.18,1,84.0
965,12,322,105,2,3.34,3.88,8.33,1,48.02
966,377,294,97,1,2.16,4.09,7.47,0,40.6
967,139,326,76,2,3.17,2.94,9.08,1,80.0
968,452,324,79,4,4.5,4.5,9.25,1,89.0
969,395,329,111,4,4.5,4.0,8.83,1,89.0
970,418,316,80,3,4.72,2.0,8.26,0,52.0
971,354,288,71,1,1.68,2.0,7.72,0,49.01
972,71,332,118,5,5.0,3.65,9.64,1,94.0
973,13,327,111,4,4.34,4.5,9.06,1,89.16
974,496,274,99,4,4.5,4.01,9.02,0,85.47
975,267,312,105,2,0.52,2.5,8.45,0,72.0
976,397,325,107,3,3.0,1.27,6.46,1,84.0
977,419,309,101,3,2.88,2.41,7.57,0,47.6
978,60,311,90,2,2.0,2.0,8.3,0,42.0
979,9,306,103,1,2.31,1.81,8.12,0,47.51
980,421,299,100,3,4.52,3.0,7.75,0,42.0
981,22,263,114,4,3.0,2.0,8.4,0,70.0
982,92,298,97,2,0.72,3.2,7.17,0,36.01
983,393,289,112,4,0.42,3.24,9.12,1,84.0
984,251,320,93,3,3.0,2.75,6.87,1,74.0
985,415,321,110,4,3.5,4.0,8.35,1,72.0
986,188,318,114,3,3.77,3.27,8.81,1,86.9
987,344,305,103,2,3.0,3.5,8.13,0,59.0
988,83,297,93,2,2.68,3.73,7.58,0,42.19
989,441,305,104,2,2.5,2.39,7.79,0,53.0
990,235,305,113,5,2.57,4.0,9.31,1,91.0
991,127,323,113,3,4.0,4.24,9.32,1,85.0
992,375,303,100,1,2.0,2.46,7.68,0,44.56
993,196,289,104,2,4.2,3.5,8.52,1,
994,240,299,104,1,1.5,2.0,7.89,0,59.0
995,340,258,89,2,1.31,1.85,7.5,0,45.01
996,242,317,103,2,2.5,2.0,8.15,0,65.0
997,488,297,100,3,2.43,4.1,7.67,0,45.09
